"indicateurs","sexe","zones-géographiques","culture","Unit","Date","Value"
"Nombre de producteurs de Manioc","Total","COPARGO","Manioc","Nombre","2019","9139"
"Nombre de producteurs de Manioc","Total","DJOUGOU","Manioc","Nombre","2019","28482"
"Nombre de producteurs de Manioc","Total","OUAKE","Manioc","Nombre","2019","5863"
"Nombre de producteurs de Manioc","Total","LITTORAL","Manioc","Nombre","2019","30"
"Nombre de producteurs de Manioc","Total","COTONOU","Manioc","Nombre","2019","30"
"Nombre de producteurs de Manioc","Total","MONO","Manioc","Nombre","2019","48536"
"Nombre de producteurs de Manioc","Total","ATHIEME","Manioc","Nombre","2019","4966"
"Nombre de producteurs de Manioc","Total","BOPA","Manioc","Nombre","2019","9663"
"Nombre de producteurs de Manioc","Total","COME","Manioc","Nombre","2019","4698"
"Nombre de producteurs de Manioc","Total","GRAND POPO","Manioc","Nombre","2019","3242"
"Nombre de producteurs de Manioc","Total","HOUEYOGBE","Manioc","Nombre","2019","12960"
"Nombre de producteurs de Manioc","Total","LOKOSSA","Manioc","Nombre","2019","13007"
"Nombre de producteurs de Manioc","Total","OUEME","Manioc","Nombre","2019","37667"
"Nombre de producteurs de Manioc","Total","ADJARRA","Manioc","Nombre","2019","2685"
"Nombre de producteurs de Manioc","Total","ADJOHOUN","Manioc","Nombre","2019","6895"
"Nombre de producteurs de Manioc","Total","AGUEGUES","Manioc","Nombre","2019","532"
"Nombre de producteurs de Manioc","Total","AKPRO MISSERETE","Manioc","Nombre","2019","5150"
"Nombre de producteurs de Manioc","Total","AVRANKOU","Manioc","Nombre","2019","4725"
"Nombre de producteurs de Manioc","Total","BONOU","Manioc","Nombre","2019","6211"
"Nombre de producteurs de Manioc","Total","DANGBO","Manioc","Nombre","2019","9260"
"Nombre de producteurs de Manioc","Total","PORTO NOVO","Manioc","Nombre","2019","145"
"Nombre de producteurs de Manioc","Total","SEME PODJI","Manioc","Nombre","2019","2064"
"Nombre de producteurs de Manioc","Total","PLATEAU","Manioc","Nombre","2019","52574"
"Nombre de producteurs de Manioc","Total","ADJA OUERE","Manioc","Nombre","2019","9231"
"Nombre de producteurs de Manioc","Total","IFANGNI","Manioc","Nombre","2019","6320"
"Nombre de producteurs de Manioc","Total","KETOU","Manioc","Nombre","2019","22569"
"Nombre de producteurs de Manioc","Total","POBE","Manioc","Nombre","2019","6962"
"Nombre de producteurs de Manioc","Total","SAKETE","Manioc","Nombre","2019","7492"
"Nombre de producteurs de Manioc","Total","ZOU","Manioc","Nombre","2019","36023"
"Nombre de producteurs de Manioc","Total","ABOMEY","Manioc","Nombre","2019","1156"
"Nombre de producteurs de Manioc","Total","AGBANGNIZOUN","Manioc","Nombre","2019","1812"
"Nombre de producteurs de Manioc","Total","BOHICON","Manioc","Nombre","2019","743"
"Nombre de producteurs de Manioc","Total","COVE","Manioc","Nombre","2019","4258"
"Nombre de producteurs de Manioc","Total","DJIDJA","Manioc","Nombre","2019","6742"
"Nombre de producteurs de Manioc","Total","OUINHI","Manioc","Nombre","2019","7138"
"Nombre de producteurs de Manioc","Total","ZAGNANADO","Manioc","Nombre","2019","5601"
"Nombre de producteurs de Manioc","Total","ZA KPOTA","Manioc","Nombre","2019","3551"
"Nombre de producteurs de Manioc","Total","ZOGBODOMEY","Manioc","Nombre","2019","5022"
"Nombre d'exploitations de Patate douce","Total","BENIN","Patate douce","Nombre","2019","39633"
"Nombre d'exploitations de Patate douce","Total","ALIBORI","Patate douce","Nombre","2019","3279"
"Nombre d'exploitations de Patate douce","Total","BANIKOARA","Patate douce","Nombre","2019","1761"
"Nombre d'exploitations de Patate douce","Total","GOGOUNOU","Patate douce","Nombre","2019","388"
"Nombre d'exploitations de Patate douce","Total","KANDI","Patate douce","Nombre","2019","801"
"Nombre d'exploitations de Patate douce","Total","KARIMAMA","Patate douce","Nombre","2019","41"
"Nombre d'exploitations de Patate douce","Total","MALANVILLE","Patate douce","Nombre","2019","238"
"Nombre d'exploitations de Patate douce","Total","SEGBANA","Patate douce","Nombre","2019","50"
"Nombre d'exploitations de Patate douce","Total","ATACORA","Patate douce","Nombre","2019","3320"
"Nombre d'exploitations de Patate douce","Total","BOUKOMBE","Patate douce","Nombre","2019","1653"
"Nombre d'exploitations de Patate douce","Total","COBLY","Patate douce","Nombre","2019","175"
"Nombre d'exploitations de Patate douce","Total","KEROU","Patate douce","Nombre","2019","243"
"Nombre d'exploitations de Patate douce","Total","KOUANDE","Patate douce","Nombre","2019","306"
"Nombre d'exploitations de Patate douce","Total","MATERI","Patate douce","Nombre","2019","224"
"Nombre d'exploitations de Patate douce","Total","NATITINGOU","Patate douce","Nombre","2019","226"
"Nombre d'exploitations de Patate douce","Total","OUASSA-PEHUNCO","Patate douce","Nombre","2019","100"
"Nombre d'exploitations de Patate douce","Total","TANGUIETA","Patate douce","Nombre","2019","187"
"Nombre d'exploitations de Patate douce","Total","TOUCOUNTOUNA","Patate douce","Nombre","2019","206"
"Nombre d'exploitations de Patate douce","Total","ATLANTIQUE","Patate douce","Nombre","2019","6308"
"Nombre d'exploitations de Patate douce","Total","ABOMEY CALAVI","Patate douce","Nombre","2019","2397"
"Nombre d'exploitations de Patate douce","Total","ALLADA","Patate douce","Nombre","2019","75"
"Nombre d'exploitations de Patate douce","Total","KPOMASSE","Patate douce","Nombre","2019","94"
"Nombre d'exploitations de Patate douce","Total","OUIDAH","Patate douce","Nombre","2019","111"
"Nombre d'exploitations de Patate douce","Total","SO AVA","Patate douce","Nombre","2019","2689"
"Nombre d'exploitations de Patate douce","Total","TOFFO","Patate douce","Nombre","2019","478"
"Nombre d'exploitations de Patate douce","Total","TORI BOSSITO","Patate douce","Nombre","2019","142"
"Nombre d'exploitations de Patate douce","Total","ZE","Patate douce","Nombre","2019","322"
"Nombre d'exploitations de Patate douce","Total","BORGOU","Patate douce","Nombre","2019","588"
"Nombre d'exploitations de Patate douce","Total","BEMBEREKE","Patate douce","Nombre","2019","83"
"Nombre d'exploitations de Patate douce","Total","KALALE","Patate douce","Nombre","2019","110"
"Nombre d'exploitations de Patate douce","Total","NDALI","Patate douce","Nombre","2019","74"
"Nombre d'exploitations de Patate douce","Total","NIKKI","Patate douce","Nombre","2019","81"
"Nombre d'exploitations de Patate douce","Total","PARAKOU","Patate douce","Nombre","2019","35"
"Nombre d'exploitations de Patate douce","Total","PERERE","Patate douce","Nombre","2019","16"
"Nombre d'exploitations de Patate douce","Total","SINENDE","Patate douce","Nombre","2019","47"
"Nombre d'exploitations de Patate douce","Total","TCHAOUROU","Patate douce","Nombre","2019","142"
"Nombre d'exploitations de Patate douce","Total","COLLINES","Patate douce","Nombre","2019","464"
"Nombre d'exploitations de Patate douce","Total","BANTE","Patate douce","Nombre","2019","33"
"Nombre d'exploitations de Patate douce","Total","DASSA ZOUME","Patate douce","Nombre","2019","72"
"Nombre d'exploitations de Patate douce","Total","GLAZOUE","Patate douce","Nombre","2019","113"
"Nombre d'exploitations de Patate douce","Total","OUESSE","Patate douce","Nombre","2019","85"
"Nombre d'exploitations de Patate douce","Total","SAVALOU","Patate douce","Nombre","2019","92"
"Nombre d'exploitations de Patate douce","Total","SAVE","Patate douce","Nombre","2019","69"
"Nombre d'exploitations de Patate douce","Total","COUFFO","Patate douce","Nombre","2019","2206"
"Nombre d'exploitations de Patate douce","Total","APLAHOUE","Patate douce","Nombre","2019","919"
"Nombre d'exploitations de Patate douce","Total","DJAKOTOMEY","Patate douce","Nombre","2019","46"
"Nombre d'exploitations de Patate douce","Total","DOGBO","Patate douce","Nombre","2019","510"
"Nombre d'exploitations de Patate douce","Total","KLOUEKANMEY","Patate douce","Nombre","2019","297"
"Nombre d'exploitations de Patate douce","Total","LALO","Patate douce","Nombre","2019","338"
"Nombre d'exploitations de Patate douce","Total","TOVIKLIN","Patate douce","Nombre","2019","96"
"Nombre d'exploitations de Patate douce","Total","DONGA","Patate douce","Nombre","2019","719"
"Nombre d'exploitations de Patate douce","Total","BASSILA","Patate douce","Nombre","2019","74"
"Nombre d'exploitations de Patate douce","Total","COPARGO","Patate douce","Nombre","2019","113"
"Nombre d'exploitations de Patate douce","Total","DJOUGOU","Patate douce","Nombre","2019","354"
"Nombre d'exploitations de Patate douce","Total","OUAKE","Patate douce","Nombre","2019","178"
"Nombre d'exploitations de Patate douce","Total","LITTORAL","Patate douce","Nombre","2019","8"
"Nombre d'exploitations de Patate douce","Total","COTONOU","Patate douce","Nombre","2019","8"
"Nombre d'exploitations de Patate douce","Total","MONO","Patate douce","Nombre","2019","664"
"Nombre d'exploitations de Patate douce","Total","ATHIEME","Patate douce","Nombre","2019","20"
"Nombre d'exploitations de Patate douce","Total","BOPA","Patate douce","Nombre","2019","63"
"Nombre d'exploitations de Patate douce","Total","COME","Patate douce","Nombre","2019","88"
"Nombre d'exploitations de Patate douce","Total","GRAND POPO","Patate douce","Nombre","2019","36"
"Nombre d'exploitations de Patate douce","Total","HOUEYOGBE","Patate douce","Nombre","2019","217"
"Nombre d'exploitations de Patate douce","Total","LOKOSSA","Patate douce","Nombre","2019","240"
"Nombre d'exploitations de Patate douce","Total","OUEME","Patate douce","Nombre","2019","14684"
"Nombre d'exploitations de Patate douce","Total","ADJARRA","Patate douce","Nombre","2019","826"
"Nombre d'exploitations de Patate douce","Total","ADJOHOUN","Patate douce","Nombre","2019","2085"
"Nombre d'exploitations de Patate douce","Total","AGUEGUES","Patate douce","Nombre","2019","82"
"Nombre d'exploitations de Patate douce","Total","AKPRO MISSERETE","Patate douce","Nombre","2019","2066"
"Nombre d'exploitations de Patate douce","Total","AVRANKOU","Patate douce","Nombre","2019","1769"
"Nombre d'exploitations de Patate douce","Total","BONOU","Patate douce","Nombre","2019","1235"
"Nombre d'exploitations de Patate douce","Total","DANGBO","Patate douce","Nombre","2019","6421"
"Nombre d'exploitations de Patate douce","Total","PORTO NOVO","Patate douce","Nombre","2019","23"
"Nombre d'exploitations de Patate douce","Total","SEME PODJI","Patate douce","Nombre","2019","177"
"Nombre d'exploitations de Patate douce","Total","PLATEAU","Patate douce","Nombre","2019","4392"
"Nombre d'exploitations de Patate douce","Total","ADJA OUERE","Patate douce","Nombre","2019","830"
"Nombre d'exploitations de Patate douce","Total","IFANGNI","Patate douce","Nombre","2019","2042"
"Nombre d'exploitations de Patate douce","Total","KETOU","Patate douce","Nombre","2019","258"
"Nombre d'exploitations de Patate douce","Total","POBE","Patate douce","Nombre","2019","705"
"Nombre d'exploitations de Patate douce","Total","SAKETE","Patate douce","Nombre","2019","557"
"Nombre d'exploitations de Patate douce","Total","ZOU","Patate douce","Nombre","2019","3001"
"Nombre d'exploitations de Patate douce","Total","ABOMEY","Patate douce","Nombre","2019","97"
"Nombre d'exploitations de Patate douce","Total","AGBANGNIZOUN","Patate douce","Nombre","2019","39"
"Nombre d'exploitations de Patate douce","Total","BOHICON","Patate douce","Nombre","2019","31"
"Nombre d'exploitations de Patate douce","Total","COVE","Patate douce","Nombre","2019","152"
"Nombre d'exploitations de Patate douce","Total","DJIDJA","Patate douce","Nombre","2019","149"
"Nombre d'exploitations de Patate douce","Total","OUINHI","Patate douce","Nombre","2019","1635"
"Nombre d'exploitations de Patate douce","Total","ZAGNANADO","Patate douce","Nombre","2019","312"
"Nombre d'exploitations de Patate douce","Total","ZA KPOTA","Patate douce","Nombre","2019","242"
"Nombre d'exploitations de Patate douce","Total","ZOGBODOMEY","Patate douce","Nombre","2019","344"
"Nombre de producteurs de Patate douce","Total","BENIN","Patate douce","Nombre","2019","47438"
"Nombre de producteurs de Patate douce","Total","ALIBORI","Patate douce","Nombre","2019","4612"
"Nombre de producteurs de Patate douce","Total","BANIKOARA","Patate douce","Nombre","2019","2553"
"Nombre de producteurs de Patate douce","Total","GOGOUNOU","Patate douce","Nombre","2019","554"
"Nombre de producteurs de Patate douce","Total","KANDI","Patate douce","Nombre","2019","1002"
"Nombre de producteurs de Patate douce","Total","KARIMAMA","Patate douce","Nombre","2019","69"
"Nombre de producteurs de Patate douce","Total","MALANVILLE","Patate douce","Nombre","2019","367"
"Nombre de producteurs de Patate douce","Total","SEGBANA","Patate douce","Nombre","2019","67"
"Nombre de producteurs de Patate douce","Total","ATACORA","Patate douce","Nombre","2019","4492"
"Nombre de producteurs de Patate douce","Total","BOUKOMBE","Patate douce","Nombre","2019","1959"
"Nombre de producteurs de Patate douce","Total","COBLY","Patate douce","Nombre","2019","185"
"Nombre de producteurs de Patate douce","Total","KEROU","Patate douce","Nombre","2019","403"
"Nombre de producteurs de Patate douce","Total","KOUANDE","Patate douce","Nombre","2019","413"
"Nombre de producteurs de Patate douce","Total","MATERI","Patate douce","Nombre","2019","398"
"Nombre de producteurs de Patate douce","Total","NATITINGOU","Patate douce","Nombre","2019","406"
"Nombre de producteurs de Patate douce","Total","OUASSA-PEHUNCO","Patate douce","Nombre","2019","156"
"Nombre de producteurs de Patate douce","Total","TANGUIETA","Patate douce","Nombre","2019","306"
"Nombre de producteurs de Patate douce","Total","TOUCOUNTOUNA","Patate douce","Nombre","2019","266"
"Nombre de producteurs de Patate douce","Total","ATLANTIQUE","Patate douce","Nombre","2019","7423"
"Nombre de producteurs de Patate douce","Total","ABOMEY CALAVI","Patate douce","Nombre","2019","2690"
"Nombre de producteurs de Patate douce","Total","ALLADA","Patate douce","Nombre","2019","86"
"Nombre de producteurs de Patate douce","Total","KPOMASSE","Patate douce","Nombre","2019","109"
"Nombre de producteurs de Patate douce","Total","OUIDAH","Patate douce","Nombre","2019","127"
"Nombre de producteurs de Patate douce","Total","SO AVA","Patate douce","Nombre","2019","3393"
"Nombre de producteurs de Patate douce","Total","TOFFO","Patate douce","Nombre","2019","538"
"Nombre de producteurs de Patate douce","Total","TORI BOSSITO","Patate douce","Nombre","2019","149"
"Nombre de producteurs de Patate douce","Total","ZE","Patate douce","Nombre","2019","331"
"Nombre de producteurs de Patate douce","Total","BORGOU","Patate douce","Nombre","2019","837"
"Nombre de producteurs de Patate douce","Total","BEMBEREKE","Patate douce","Nombre","2019","129"
"Nombre de producteurs de Patate douce","Total","KALALE","Patate douce","Nombre","2019","146"
"Nombre de producteurs de Patate douce","Total","NDALI","Patate douce","Nombre","2019","101"
"Nombre de producteurs de Patate douce","Total","NIKKI","Patate douce","Nombre","2019","109"
"Nombre de producteurs de Patate douce","Total","PARAKOU","Patate douce","Nombre","2019","50"
"Nombre de producteurs de Patate douce","Total","PERERE","Patate douce","Nombre","2019","21"
"Nombre de producteurs de Patate douce","Total","SINENDE","Patate douce","Nombre","2019","83"
"Nombre de producteurs de Patate douce","Total","TCHAOUROU","Patate douce","Nombre","2019","198"
"Nombre de producteurs de Patate douce","Total","COLLINES","Patate douce","Nombre","2019","582"
"Nombre de producteurs de Patate douce","Total","BANTE","Patate douce","Nombre","2019","38"
"Nombre de producteurs de Patate douce","Total","DASSA ZOUME","Patate douce","Nombre","2019","85"
"Nombre de producteurs de Patate douce","Total","GLAZOUE","Patate douce","Nombre","2019","169"
"Nombre de producteurs de Patate douce","Total","OUESSE","Patate douce","Nombre","2019","92"
"Nombre de producteurs de Patate douce","Total","SAVALOU","Patate douce","Nombre","2019","118"
"Nombre de producteurs de Patate douce","Total","SAVE","Patate douce","Nombre","2019","80"
"Nombre de producteurs de Patate douce","Total","COUFFO","Patate douce","Nombre","2019","3092"
"Nombre de producteurs de Patate douce","Total","APLAHOUE","Patate douce","Nombre","2019","1351"
"Nombre de producteurs de Patate douce","Total","DJAKOTOMEY","Patate douce","Nombre","2019","79"
"Nombre de producteurs de Patate douce","Total","DOGBO","Patate douce","Nombre","2019","589"
"Nombre de producteurs de Patate douce","Total","KLOUEKANMEY","Patate douce","Nombre","2019","454"
"Nombre de producteurs de Patate douce","Total","LALO","Patate douce","Nombre","2019","486"
"Nombre de producteurs de Patate douce","Total","TOVIKLIN","Patate douce","Nombre","2019","133"
"Nombre de producteurs de Patate douce","Total","DONGA","Patate douce","Nombre","2019","1107"
"Nombre de producteurs de Patate douce","Total","BASSILA","Patate douce","Nombre","2019","90"
"Nombre de producteurs de Patate douce","Total","COPARGO","Patate douce","Nombre","2019","198"
"Nombre de producteurs de Patate douce","Total","DJOUGOU","Patate douce","Nombre","2019","603"
"Nombre de producteurs de Patate douce","Total","OUAKE","Patate douce","Nombre","2019","216"
"Nombre de producteurs de Patate douce","Total","LITTORAL","Patate douce","Nombre","2019","9"
"Nombre de producteurs de Patate douce","Total","COTONOU","Patate douce","Nombre","2019","9"
"Nombre de producteurs de Patate douce","Total","MONO","Patate douce","Nombre","2019","819"
"Nombre de producteurs de Patate douce","Total","ATHIEME","Patate douce","Nombre","2019","24"
"Nombre de producteurs de Patate douce","Total","BOPA","Patate douce","Nombre","2019","79"
"Nombre de producteurs de Patate douce","Total","COME","Patate douce","Nombre","2019","104"
"Nombre de producteurs de Patate douce","Total","GRAND POPO","Patate douce","Nombre","2019","48"
"Nombre de producteurs de Patate douce","Total","HOUEYOGBE","Patate douce","Nombre","2019","283"
"Nombre de producteurs de Patate douce","Total","LOKOSSA","Patate douce","Nombre","2019","281"
"Nombre de producteurs de Patate douce","Total","OUEME","Patate douce","Nombre","2019","16115"
"Nombre de producteurs de Patate douce","Total","ADJARRA","Patate douce","Nombre","2019","846"
"Nombre de producteurs de Patate douce","Total","ADJOHOUN","Patate douce","Nombre","2019","2230"
"Nombre de producteurs de Patate douce","Total","AGUEGUES","Patate douce","Nombre","2019","95"
"Nombre de producteurs de Patate douce","Total","AKPRO MISSERETE","Patate douce","Nombre","2019","2076"
"Nombre de producteurs de Patate douce","Total","AVRANKOU","Patate douce","Nombre","2019","1849"
"Nombre de producteurs de Patate douce","Total","BONOU","Patate douce","Nombre","2019","1589"
"Nombre de producteurs de Patate douce","Total","DANGBO","Patate douce","Nombre","2019","7223"
"Nombre de producteurs de Patate douce","Total","PORTO NOVO","Patate douce","Nombre","2019","23"
"Nombre de producteurs de Patate douce","Total","SEME PODJI","Patate douce","Nombre","2019","184"
"Nombre de producteurs de Patate douce","Total","PLATEAU","Patate douce","Nombre","2019","4893"
"Nombre de producteurs de Patate douce","Total","ADJA OUERE","Patate douce","Nombre","2019","939"
"Nombre de producteurs de Patate douce","Total","IFANGNI","Patate douce","Nombre","2019","2084"
"Nombre de producteurs de Patate douce","Total","KETOU","Patate douce","Nombre","2019","349"
"Nombre de producteurs de Patate douce","Total","POBE","Patate douce","Nombre","2019","930"
"Nombre de producteurs de Patate douce","Total","SAKETE","Patate douce","Nombre","2019","591"
"Nombre de producteurs de Patate douce","Total","ZOU","Patate douce","Nombre","2019","3457"
"Nombre de producteurs de Patate douce","Total","ABOMEY","Patate douce","Nombre","2019","122"
"Nombre de producteurs de Patate douce","Total","AGBANGNIZOUN","Patate douce","Nombre","2019","41"
"Nombre de producteurs de Patate douce","Total","BOHICON","Patate douce","Nombre","2019","34"
"Nombre de producteurs de Patate douce","Total","COVE","Patate douce","Nombre","2019","193"
"Nombre de producteurs de Patate douce","Total","DJIDJA","Patate douce","Nombre","2019","166"
"Nombre de producteurs de Patate douce","Total","OUINHI","Patate douce","Nombre","2019","1870"
"Nombre de producteurs de Patate douce","Total","ZAGNANADO","Patate douce","Nombre","2019","396"
"Nombre d'exploitations de Manioc","Total","ZOGBODOMEY","Manioc","Nombre","2019","4537"
"Nombre de producteurs de Patate douce","Total","ZOGBODOMEY","Patate douce","Nombre","2019","376"
