"indicateurs","sexe","zones-géographiques","culture","Unit","Date","Value"
"Nombre d'exploitations d'Igname","Total","PLATEAU","Igname","Nombre","2019","5962"
"Nombre d'exploitations d'Igname","Total","ADJA OUERE","Igname","Nombre","2019","1822"
"Nombre d'exploitations d'Igname","Total","IFANGNI","Igname","Nombre","2019","28"
"Nombre d'exploitations d'Igname","Total","KETOU","Igname","Nombre","2019","1396"
"Nombre d'exploitations d'Igname","Total","POBE","Igname","Nombre","2019","2347"
"Nombre d'exploitations d'Igname","Total","SAKETE","Igname","Nombre","2019","369"
"Nombre d'exploitations d'Igname","Total","ZOU","Igname","Nombre","2019","4647"
"Nombre d'exploitations d'Igname","Total","ABOMEY","Igname","Nombre","2019","116"
"Nombre d'exploitations d'Igname","Total","AGBANGNIZOUN","Igname","Nombre","2019","60"
"Nombre d'exploitations d'Igname","Total","BOHICON","Igname","Nombre","2019","55"
"Nombre d'exploitations d'Igname","Total","COVE","Igname","Nombre","2019","188"
"Nombre d'exploitations d'Igname","Total","DJIDJA","Igname","Nombre","2019","2012"
"Nombre d'exploitations d'Igname","Total","OUINHI","Igname","Nombre","2019","971"
"Nombre d'exploitations d'Igname","Total","ZAGNANADO","Igname","Nombre","2019","303"
"Nombre d'exploitations d'Igname","Total","ZA KPOTA","Igname","Nombre","2019","231"
"Nombre d'exploitations d'Igname","Total","ZOGBODOMEY","Igname","Nombre","2019","711"
"Nombre de producteurs d'Igname","Total","BENIN","Igname","Nombre","2019","313168"
"Nombre de producteurs d'Igname","Total","ALIBORI","Igname","Nombre","2019","20594"
"Nombre de producteurs d'Igname","Total","BANIKOARA","Igname","Nombre","2019","5769"
"Nombre de producteurs d'Igname","Total","GOGOUNOU","Igname","Nombre","2019","7778"
"Nombre de producteurs d'Igname","Total","KANDI","Igname","Nombre","2019","1686"
"Nombre de producteurs d'Igname","Total","KARIMAMA","Igname","Nombre","2019","11"
"Nombre de producteurs d'Igname","Total","MALANVILLE","Igname","Nombre","2019","26"
"Nombre de producteurs d'Igname","Total","SEGBANA","Igname","Nombre","2019","5324"
"Nombre de producteurs d'Igname","Total","ATACORA","Igname","Nombre","2019","71895"
"Nombre de producteurs d'Igname","Total","BOUKOMBE","Igname","Nombre","2019","5253"
"Nombre de producteurs d'Igname","Total","COBLY","Igname","Nombre","2019","4699"
"Nombre de producteurs d'Igname","Total","KEROU","Igname","Nombre","2019","8913"
"Nombre de producteurs d'Igname","Total","KOUANDE","Igname","Nombre","2019","14065"
"Nombre de producteurs d'Igname","Total","MATERI","Igname","Nombre","2019","8565"
"Nombre de producteurs d'Igname","Total","NATITINGOU","Igname","Nombre","2019","9609"
"Nombre de producteurs d'Igname","Total","OUASSA-PEHUNCO","Igname","Nombre","2019","8495"
"Nombre de producteurs d'Igname","Total","TANGUIETA","Igname","Nombre","2019","6306"
"Nombre de producteurs d'Igname","Total","TOUCOUNTOUNA","Igname","Nombre","2019","5990"
"Nombre de producteurs d'Igname","Total","ATLANTIQUE","Igname","Nombre","2019","679"
"Nombre de producteurs d'Igname","Total","ABOMEY CALAVI","Igname","Nombre","2019","108"
"Nombre de producteurs d'Igname","Total","ALLADA","Igname","Nombre","2019","196"
"Nombre de producteurs d'Igname","Total","KPOMASSE","Igname","Nombre","2019","41"
"Nombre de producteurs d'Igname","Total","OUIDAH","Igname","Nombre","2019","15"
"Nombre de producteurs d'Igname","Total","SO AVA","Igname","Nombre","2019","7"
"Nombre de producteurs d'Igname","Total","TOFFO","Igname","Nombre","2019","209"
"Nombre de producteurs d'Igname","Total","TORI BOSSITO","Igname","Nombre","2019","53"
"Nombre de producteurs d'Igname","Total","ZE","Igname","Nombre","2019","50"
"Nombre de producteurs d'Igname","Total","BORGOU","Igname","Nombre","2019","97857"
"Nombre de producteurs d'Igname","Total","BEMBEREKE","Igname","Nombre","2019","7963"
"Nombre de producteurs d'Igname","Total","KALALE","Igname","Nombre","2019","21752"
"Nombre de producteurs d'Igname","Total","NDALI","Igname","Nombre","2019","9296"
"Nombre de producteurs d'Igname","Total","NIKKI","Igname","Nombre","2019","16786"
"Nombre de producteurs d'Igname","Total","PARAKOU","Igname","Nombre","2019","3043"
"Nombre de producteurs d'Igname","Total","PERERE","Igname","Nombre","2019","10320"
"Nombre de producteurs d'Igname","Total","SINENDE","Igname","Nombre","2019","8830"
"Nombre de producteurs d'Igname","Total","TCHAOUROU","Igname","Nombre","2019","19867"
"Nombre de producteurs d'Igname","Total","COLLINES","Igname","Nombre","2019","40251"
"Nombre de producteurs d'Igname","Total","BANTE","Igname","Nombre","2019","9808"
"Nombre de producteurs d'Igname","Total","DASSA ZOUME","Igname","Nombre","2019","1898"
"Nombre de producteurs d'Igname","Total","GLAZOUE","Igname","Nombre","2019","8989"
"Nombre de producteurs d'Igname","Total","OUESSE","Igname","Nombre","2019","6238"
"Nombre de producteurs d'Igname","Total","SAVALOU","Igname","Nombre","2019","10109"
"Nombre de producteurs d'Igname","Total","SAVE","Igname","Nombre","2019","3209"
"Nombre de producteurs d'Igname","Total","COUFFO","Igname","Nombre","2019","5035"
"Nombre de producteurs d'Igname","Total","APLAHOUE","Igname","Nombre","2019","1514"
"Nombre de producteurs d'Igname","Total","DJAKOTOMEY","Igname","Nombre","2019","191"
"Nombre de producteurs d'Igname","Total","DOGBO","Igname","Nombre","2019","575"
"Nombre de producteurs d'Igname","Total","KLOUEKANMEY","Igname","Nombre","2019","193"
"Nombre de producteurs d'Igname","Total","LALO","Igname","Nombre","2019","2397"
"Nombre de producteurs d'Igname","Total","TOVIKLIN","Igname","Nombre","2019","165"
"Nombre de producteurs d'Igname","Total","DONGA","Igname","Nombre","2019","62187"
"Nombre de producteurs d'Igname","Total","BASSILA","Igname","Nombre","2019","10716"
"Nombre de producteurs d'Igname","Total","COPARGO","Igname","Nombre","2019","10798"
"Nombre de producteurs d'Igname","Total","DJOUGOU","Igname","Nombre","2019","33701"
"Nombre de producteurs d'Igname","Total","OUAKE","Igname","Nombre","2019","6972"
"Nombre de producteurs d'Igname","Total","LITTORAL","Igname","Nombre","2019","0"
"Nombre de producteurs d'Igname","Total","COTONOU","Igname","Nombre","2019","0"
"Nombre de producteurs d'Igname","Total","MONO","Igname","Nombre","2019","1304"
"Nombre de producteurs d'Igname","Total","ATHIEME","Igname","Nombre","2019","127"
"Nombre de producteurs d'Igname","Total","BOPA","Igname","Nombre","2019","827"
"Nombre de producteurs d'Igname","Total","COME","Igname","Nombre","2019","16"
"Nombre de producteurs d'Igname","Total","GRAND POPO","Igname","Nombre","2019","15"
"Nombre de producteurs d'Igname","Total","HOUEYOGBE","Igname","Nombre","2019","150"
"Nombre de producteurs d'Igname","Total","LOKOSSA","Igname","Nombre","2019","169"
"Nombre de producteurs d'Igname","Total","OUEME","Igname","Nombre","2019","585"
"Nombre de producteurs d'Igname","Total","ADJARRA","Igname","Nombre","2019","12"
"Nombre de producteurs d'Igname","Total","ADJOHOUN","Igname","Nombre","2019","71"
"Nombre de producteurs d'Igname","Total","AGUEGUES","Igname","Nombre","2019","12"
"Nombre de producteurs d'Igname","Total","AKPRO MISSERETE","Igname","Nombre","2019","73"
"Nombre de producteurs d'Igname","Total","AVRANKOU","Igname","Nombre","2019","26"
"Nombre de producteurs d'Igname","Total","BONOU","Igname","Nombre","2019","332"
"Nombre de producteurs d'Igname","Total","DANGBO","Igname","Nombre","2019","24"
"Nombre de producteurs d'Igname","Total","PORTO NOVO","Igname","Nombre","2019","1"
"Nombre de producteurs d'Igname","Total","SEME PODJI","Igname","Nombre","2019","34"
"Nombre de producteurs d'Igname","Total","PLATEAU","Igname","Nombre","2019","7542"
"Nombre de producteurs d'Igname","Total","ADJA OUERE","Igname","Nombre","2019","1977"
"Nombre de producteurs d'Igname","Total","IFANGNI","Igname","Nombre","2019","28"
"Nombre de producteurs d'Igname","Total","KETOU","Igname","Nombre","2019","2014"
"Nombre de producteurs d'Igname","Total","POBE","Igname","Nombre","2019","3105"
"Nombre de producteurs d'Igname","Total","SAKETE","Igname","Nombre","2019","418"
"Nombre de producteurs d'Igname","Total","ZOU","Igname","Nombre","2019","5239"
"Nombre de producteurs d'Igname","Total","ABOMEY","Igname","Nombre","2019","123"
"Nombre de producteurs d'Igname","Total","AGBANGNIZOUN","Igname","Nombre","2019","63"
"Nombre de producteurs d'Igname","Total","BOHICON","Igname","Nombre","2019","57"
"Nombre de producteurs d'Igname","Total","COVE","Igname","Nombre","2019","236"
"Nombre de producteurs d'Igname","Total","DJIDJA","Igname","Nombre","2019","2234"
"Nombre de producteurs d'Igname","Total","OUINHI","Igname","Nombre","2019","1064"
"Nombre de producteurs d'Igname","Total","ZAGNANADO","Igname","Nombre","2019","409"
"Nombre de producteurs d'Igname","Total","ZA KPOTA","Igname","Nombre","2019","248"
"Nombre de producteurs d'Igname","Total","ZOGBODOMEY","Igname","Nombre","2019","805"
"Nombre d'exploitations de Manioc","Total","BENIN","Manioc","Nombre","2019","431234"
"Nombre d'exploitations de Manioc","Total","ALIBORI","Manioc","Nombre","2019","2184"
"Nombre d'exploitations de Manioc","Total","BANIKOARA","Manioc","Nombre","2019","342"
"Nombre d'exploitations de Manioc","Total","GOGOUNOU","Manioc","Nombre","2019","380"
"Nombre d'exploitations de Manioc","Total","KANDI","Manioc","Nombre","2019","435"
"Nombre d'exploitations de Manioc","Total","KARIMAMA","Manioc","Nombre","2019","142"
"Nombre d'exploitations de Manioc","Total","MALANVILLE","Manioc","Nombre","2019","468"
"Nombre d'exploitations de Manioc","Total","SEGBANA","Manioc","Nombre","2019","417"
"Nombre d'exploitations de Manioc","Total","ATACORA","Manioc","Nombre","2019","21697"
"Nombre d'exploitations de Manioc","Total","BOUKOMBE","Manioc","Nombre","2019","344"
"Nombre d'exploitations de Manioc","Total","COBLY","Manioc","Nombre","2019","94"
"Nombre d'exploitations de Manioc","Total","KEROU","Manioc","Nombre","2019","1016"
"Nombre d'exploitations de Manioc","Total","KOUANDE","Manioc","Nombre","2019","6797"
"Nombre d'exploitations de Manioc","Total","MATERI","Manioc","Nombre","2019","239"
"Nombre d'exploitations de Manioc","Total","NATITINGOU","Manioc","Nombre","2019","4027"
"Nombre d'exploitations de Manioc","Total","OUASSA-PEHUNCO","Manioc","Nombre","2019","3536"
"Nombre d'exploitations de Manioc","Total","TANGUIETA","Manioc","Nombre","2019","1549"
"Nombre d'exploitations de Manioc","Total","TOUCOUNTOUNA","Manioc","Nombre","2019","4095"
"Nombre d'exploitations de Manioc","Total","ATLANTIQUE","Manioc","Nombre","2019","59596"
"Nombre d'exploitations de Manioc","Total","ABOMEY CALAVI","Manioc","Nombre","2019","8005"
"Nombre d'exploitations de Manioc","Total","ALLADA","Manioc","Nombre","2019","9039"
"Nombre d'exploitations de Manioc","Total","KPOMASSE","Manioc","Nombre","2019","6850"
"Nombre d'exploitations de Manioc","Total","OUIDAH","Manioc","Nombre","2019","3160"
"Nombre d'exploitations de Manioc","Total","SO AVA","Manioc","Nombre","2019","1275"
"Nombre d'exploitations de Manioc","Total","TOFFO","Manioc","Nombre","2019","11329"
"Nombre d'exploitations de Manioc","Total","TORI BOSSITO","Manioc","Nombre","2019","7738"
"Nombre d'exploitations de Manioc","Total","ZE","Manioc","Nombre","2019","12200"
"Nombre d'exploitations de Manioc","Total","BORGOU","Manioc","Nombre","2019","35225"
"Nombre d'exploitations de Manioc","Total","BEMBEREKE","Manioc","Nombre","2019","2954"
"Nombre d'exploitations de Manioc","Total","KALALE","Manioc","Nombre","2019","2718"
"Nombre d'exploitations de Manioc","Total","NDALI","Manioc","Nombre","2019","4157"
"Nombre d'exploitations de Manioc","Total","NIKKI","Manioc","Nombre","2019","5856"
"Nombre d'exploitations de Manioc","Total","PARAKOU","Manioc","Nombre","2019","1542"
"Nombre d'exploitations de Manioc","Total","PERERE","Manioc","Nombre","2019","5598"
"Nombre d'exploitations de Manioc","Total","SINENDE","Manioc","Nombre","2019","2559"
"Nombre d'exploitations de Manioc","Total","TCHAOUROU","Manioc","Nombre","2019","9841"
"Nombre d'exploitations de Manioc","Total","COLLINES","Manioc","Nombre","2019","52383"
"Nombre d'exploitations de Manioc","Total","BANTE","Manioc","Nombre","2019","9844"
"Nombre d'exploitations de Manioc","Total","DASSA ZOUME","Manioc","Nombre","2019","7333"
